HS Code,HS Code Description,HS Description
0303.4400,- - Bigeye tunas (Thunnus obesus),- - Bigeye tunas (Thunnus obesus)
0303.4500,"- - Atlantic and pacific bluefin tunas (Thunnus
thynnus, Thunnus orientalis)","- - Atlantic and pacific bluefin tunas (Thunnus
thynnus, Thunnus orientalis)"
0303.4600,- - Southern bluefin tunas (Thunnus maccoyii),- - Southern bluefin tunas (Thunnus maccoyii)
0303.4900,- - Other,- - Other
0303.5100,"- - Herrings (Clupea harengus, Clupea pallasii)","- - Herrings (Clupea harengus, Clupea pallasii)"
0303.5300,"- - Sardines (Sardina pilchardus, Sardinops spp.),
sardinella (Sardinella spp.), brisling or sprats
(Sprattus sprattus)","- - Sardines (Sardina pilchardus, Sardinops spp.),
sardinella (Sardinella spp.), brisling or sprats
(Sprattus sprattus)"
0303.5400,"- - Mackerel (Scomber scombrus Scomber
australasicus, Scomber japonicus)","- - Mackerel (Scomber scombrus Scomber
australasicus, Scomber japonicus)"
0303.5500,- - Jack and horse mackerel (Trachurus spp.),- - Jack and horse mackerel (Trachurus spp.)
0303.5600,- - Cobia (Rachycentron canadum),- - Cobia (Rachycentron canadum)
0303.5700,- - Swordfish (Xiphias gladius),- - Swordfish (Xiphias gladius)
0303.5900,- - Other,- - Other
0303.6300,"- - Cod (Gadus morhua, Gadus ogac, Gadus
macrocephalus)","- - Cod (Gadus morhua, Gadus ogac, Gadus
macrocephalus)"
0303.6400,- - Haddock (Melanogrammus aeglefinus),- - Haddock (Melanogrammus aeglefinus)
0303.6500,- - Coalfish (Pollachius virens),- - Coalfish (Pollachius virens)
0303.6600,"- - Hake (Merluccius spp., Urophycis spp.)","- - Hake (Merluccius spp., Urophycis spp.)"
0303.6700,- - Alaska Pollack (Theragra chalcogramma),- - Alaska Pollack (Theragra chalcogramma)
0303.6800,"- - Blue whitings (Micromesistius poutassou,
Micromesistius australis)","- - Blue whitings (Micromesistius poutassou,
Micromesistius australis)"
0303.6900,- - Other,- - Other
0303.8100,- - Dogfish and other sharks,- - Dogfish and other sharks
0303.8200,- - Rays and skates (Rajidae),- - Rays and skates (Rajidae)
0303.8300,- - Toothfish (Dissostichus spp.),- - Toothfish (Dissostichus spp.)
0303.8400,"- - Seabass (Dicentrarchus labrax, Dicentrarchus
punctatus)","- - Seabass (Dicentrarchus labrax, Dicentrarchus
punctatus)"
0303.8900,- - Other,- - Other
0303.9100,"- - Livers, roes and milt","- - Livers, roes and milt"
0303.9200,- - Shark fins,- - Shark fins
0303.9900,- - Other,- - Other
03.04,"Fish fillets and other fish meat (whether or
not minced), fresh, chilled or frozen.","Fish fillets and other fish meat (whether or
not minced), fresh, chilled or frozen."
0304.3100,- - Tilapias (Oreochromis spp.),- - Tilapias (Oreochromis spp.)
0304.3200,"- - Catfish (Pangasius spp., Silurus spp., Clarias
spp., Ictalurus spp.)","- - Catfish (Pangasius spp., Silurus spp., Clarias
spp., Ictalurus spp.)"
0304.3300,- -Nile perch (Lates niloticus),- -Nile perch (Lates niloticus)
0304.3900,- - Other,- - Other
0304.4100,"- - Pacific salmon (Oncorhynchus nerka,
Oncorhynchus gorbuscha, Oncorhynchus keta,
Oncorhynchus tschawytscha, Oncorhynchus
kisutch, Oncorhynchus masou and
Oncorhynchus rhodurus), Atlantic salmon (Salmo
salar) and Danube salmon (Hucho hucho)","- - Pacific salmon (Oncorhynchus nerka,
Oncorhynchus gorbuscha, Oncorhynchus keta,
Oncorhynchus tschawytscha, Oncorhynchus
kisutch, Oncorhynchus masou and
Oncorhynchus rhodurus), Atlantic salmon (Salmo
salar) and Danube salmon (Hucho hucho)"
0304.4200,"- - Trout (Salmo trutta, Oncorhynchus mykiss,
Oncorhynchus clarki, Oncorhynchus aguabonita,
Oncorhynchus gilae, Oncorhynchus apache and
Oncorhynchus chrysogaster)","- - Trout (Salmo trutta, Oncorhynchus mykiss,
Oncorhynchus clarki, Oncorhynchus aguabonita,
Oncorhynchus gilae, Oncorhynchus apache and
Oncorhynchus chrysogaster)"
0304.4300,"- - Flat fish (Pleuronectidae, Bothidae,
Cynoglossidae, Soleidae, Scophthalmidae and
Citharidae)","- - Flat fish (Pleuronectidae, Bothidae,
Cynoglossidae, Soleidae, Scophthalmidae and
Citharidae)"
0304.4400,"- - Fish of the families Bregmacerotidae,
Euclichthyidae, Gadidae, Macrouridae,
Melanonidae, Moridae and Muraenolepididae","- - Fish of the families Bregmacerotidae,
Euclichthyidae, Gadidae, Macrouridae,
Melanonidae, Moridae and Muraenolepididae"
0304.4500,- - Swordfish (Xiphias gladius),- - Swordfish (Xiphias gladius)
0304.4600,- - Toothfish (Dissostichus spp.),- - Toothfish (Dissostichus spp.)
0304.4700,- - Dogfish and other sharks,- - Dogfish and other sharks
0304.4800,- - Rays and skates (Rajidae),- - Rays and skates (Rajidae)
0304.4900,- - Other,- - Other
0304.5100,"- - Tilapias (Oreochromis spp.), catfish
(Pangasius spp., Silurus spp., Clarias spp.,
Ictalurus spp.), carp (Cyprinus spp., Carassius
spp., Ctenopharyngodon
idellus,Hypophthalmichthys spp., Cirrhinus spp.,
Mylopharyngodon piceus, Catla catla, Labeo
spp., Osteochilus hasselti, Leptobarbus hoeveni,
Megalobrama spp.), eels (Anguilla spp.), Nile
perch (Lates niloticus) and snakeheads (Channa
spp.)","- - Tilapias (Oreochromis spp.), catfish
(Pangasius spp., Silurus spp., Clarias spp.,
Ictalurus spp.), carp (Cyprinus spp., Carassius
spp., Ctenopharyngodon
idellus,Hypophthalmichthys spp., Cirrhinus spp.,
Mylopharyngodon piceus, Catla catla, Labeo
spp., Osteochilus hasselti, Leptobarbus hoeveni,
Megalobrama spp.), eels (Anguilla spp.), Nile
perch (Lates niloticus) and snakeheads (Channa
spp.)"
0304.5200,- - Salmonidae,- - Salmonidae
0304.5300,"- - Fish of the families Bregmacerotidae,
Euclichthyidae, Gadidae, Macrouridae,
elanonidae, Merlucciidae, Moridae and
Muraenolepididae","- - Fish of the families Bregmacerotidae,
Euclichthyidae, Gadidae, Macrouridae,
elanonidae, Merlucciidae, Moridae and
Muraenolepididae"
0304.5400,- - Swordfish (Xiphias gladius),- - Swordfish (Xiphias gladius)
0304.5500,- - Toothfish (Dissostichus spp.),- - Toothfish (Dissostichus spp.)
0304.5600,- - Dogfish and other sharks,- - Dogfish and other sharks
0304.5700,- - Rays and skates (Rajidae),- - Rays and skates (Rajidae)
0304.5900,- - Other,- - Other
0304.6100,- - Tilapias (Oreochromis spp.),- - Tilapias (Oreochromis spp.)
0304.6200,"- - Catfish (Pangasius spp., Silurus spp., Clarias
spp., Ictalurus spp.)","- - Catfish (Pangasius spp., Silurus spp., Clarias
spp., Ictalurus spp.)"
0304.6300,- -Nile perch (Lates niloticus),- -Nile perch (Lates niloticus)
0304.6900,- - Other,- - Other
0304.7100,"- - Cod (Gadus morhua, Gadus ogac, Gadus
macrocephalus)","- - Cod (Gadus morhua, Gadus ogac, Gadus
macrocephalus)"
0304.7200,- - Haddock (Melanogrammus aeglefinus),- - Haddock (Melanogrammus aeglefinus)
0304.7300,- - Coalfish (Pollachius virens),- - Coalfish (Pollachius virens)
0304.7400,"- - Hake (Merluccius spp., Urophycis spp.)","- - Hake (Merluccius spp., Urophycis spp.)"
0304.7500,- - Alaska Pollack (Theragra chalcogramma),- - Alaska Pollack (Theragra chalcogramma)
0304.7900,- - Other,- - Other
0304.8100,"- - Pacific salmon (Oncorhynchus nerka,
Oncorhynchus gorbuscha, Oncorhynchus keta,
Oncorhynchus tschawytscha, Oncorhynchus
kisutch, Oncorhynchus masou and
Oncorhynchus rhodurus), Atlantic salmon (Salmo
salar) and Danube salmon (Hucho hucho)","- - Pacific salmon (Oncorhynchus nerka,
Oncorhynchus gorbuscha, Oncorhynchus keta,
Oncorhynchus tschawytscha, Oncorhynchus
kisutch, Oncorhynchus masou and
Oncorhynchus rhodurus), Atlantic salmon (Salmo
salar) and Danube salmon (Hucho hucho)"
0304.8200,"- - Trout (Salmo trutta, Oncorhynchus mykiss,
Oncorhynchus clarki, Oncorhynchus aguabonita,
Oncorhynchus gilae, Oncorhynchus apache and
Oncorhynchus chrysogaster)","- - Trout (Salmo trutta, Oncorhynchus mykiss,
Oncorhynchus clarki, Oncorhynchus aguabonita,
Oncorhynchus gilae, Oncorhynchus apache and
Oncorhynchus chrysogaster)"
0304.8300,"- - Flat fish (Pleuronectidae, Bothidae,
Cynoglossidae, Soleidae, Scophthalmidae and
Citharidae)","- - Flat fish (Pleuronectidae, Bothidae,
Cynoglossidae, Soleidae, Scophthalmidae and
Citharidae)"
0304.8400,- -Swordfish (Xiphias gladius),- -Swordfish (Xiphias gladius)
0304.8500,- -Toothfish (Dissostichus spp.),- -Toothfish (Dissostichus spp.)
0304.8600,"- - Herrings (Clupea harengus, Clupea pallasii)","- - Herrings (Clupea harengus, Clupea pallasii)"
